NEWCODE,HTS_MASTER_CODE,COUNTRY,NEWRATE,NEWRATE_CLEAN,RATE_MODIFIER,ADDITIONAL_DUTY_PCT,ADDITIONAL_VALUE,ADDITIONAL_UNIT,TRADEPROGRAM,MATCH_PRIORITY
9902.02.99,2917.39.30,Global,0,0.0,,,,,MTB,20
9902.03.01,2917.39.70,Global,0,0.0,,,,,MTB,20
9902.03.02,2917.39.70,Global,0,0.0,,,,,MTB,20
9902.03.03,2917.39.70,Global,0,0.0,,,,,MTB,20
9902.03.04,2917.39.70,Global,0,0.0,,,,,MTB,20
9902.03.05,2917.39.70,Global,0,0.0,,,,,MTB,20
9902.03.06,2918.19.90,Global,0,0.0,,,,,MTB,20
9902.03.07,2918.22.10,Global,0.019,0.019,,,,,MTB,20
9902.03.08,2918.23.20,Global,0.023,0.023,,,,,MTB,20
9902.03.09,2918.29.22,Global,0.02,0.02,,,,,MTB,20
9902.03.10,2918.29.30,Global,0,0.0,,,,,MTB,20
9902.03.11,2918.29.65,Global,0,0.0,,,,,MTB,20
9902.03.12,2918.29.75,Global,0,0.0,,,,,MTB,20
9902.03.13,2918.29.75,Global,0,0.0,,,,,MTB,20
9902.03.14,2918.29.75,Global,0,0.0,,,,,MTB,20
9902.03.15,2918.29.75,Global,0,0.0,,,,,MTB,20
9902.03.16,2918.29.75,Global,0,0.0,,,,,MTB,20
9902.03.17,2918.29.75,Global,0,0.0,,,,,MTB,20
9902.03.18,2918.30.30,Global,0.037,0.037,,,,,MTB,20
9902.03.19,2918.30.90,Global,0,0.0,,,,,MTB,20
9902.03.20,2918.30.90,Global,0,0.0,,,,,MTB,20
9902.03.21,2918.99.18,Global,0,0.0,,,,,MTB,20
9902.03.22,2918.99.20,Global,0,0.0,,,,,MTB,20
9902.03.23,2918.99.20,Global,0.025,0.025,,,,,MTB,20
9902.03.24,2918.99.20,Global,0.04,0.04,,,,,MTB,20
9902.03.25,2918.99.43,Global,0,0.0,,,,,MTB,20
9902.03.26,2918.99.43,Global,0,0.0,,,,,MTB,20
9902.03.27,2918.99.43,Global,0,0.0,,,,,MTB,20
9902.03.28,2918.99.43,Global,0,0.0,,,,,MTB,20
9902.03.29,2918.99.43,Global,0,0.0,,,,,MTB,20
9902.03.30,2918.99.43,Global,0,0.0,,,,,MTB,20
9902.03.31,2918.99.50,Global,0,0.0,,,,,MTB,20
9902.03.32,2918.99.50,Global,0,0.0,,,,,MTB,20
9902.03.33,2918.99.50,Global,0,0.0,,,,,MTB,20
9902.03.34,2918.99.50,Global,0,0.0,,,,,MTB,20
9902.03.35,2919.90.30,Global,0,0.0,,,,,MTB,20
9902.03.36,2919.90.30,Global,0,0.0,,,,,MTB,20
9902.03.37,2919.90.50,Global,0.007,0.007,,,,,MTB,20
9902.03.38,2920.19.40,Global,0,0.0,,,,,MTB,20
9902.03.39,2920.19.50,Global,0,0.0,,,,,MTB,20
9902.03.40,2920.21.00,Global,0,0.0,,,,,MTB,20
9902.03.41,2920.90.10,Global,0,0.0,,,,,MTB,20
9902.03.42,2920.90.20,Global,0,0.0,,,,,MTB,20
9902.03.43,2920.90.51,Global,0,0.0,,,,,MTB,20
9902.03.44,2920.90.51,Global,0,0.0,,,,,MTB,20
9902.03.45,2920.90.51,Global,0,0.0,,,,,MTB,20
9902.03.46,2920.90.51,Global,0,0.0,,,,,MTB,20
9902.03.47,2920.90.51,Global,0,0.0,,,,,MTB,20
9902.03.48,2921.19.61,Global,0,0.0,,,,,MTB,20
9902.03.49,2921.19.61,Global,0,0.0,,,,,MTB,20
9902.03.50,2921.19.61,Global,0,0.0,,,,,MTB,20
9902.03.51,2921.29.00,Global,0,0.0,,,,,MTB,20
9902.03.52,2921.29.00,Global,0,0.0,,,,,MTB,20
9902.03.53,2921.29.00,Global,0,0.0,,,,,MTB,20
9902.03.54,2921.42.18,Global,0,0.0,,,,,MTB,20
9902.03.55,2921.42.55,Global,0,0.0,,,,,MTB,20
9902.03.56,2921.42.55,Global,0,0.0,,,,,MTB,20
9902.03.57,2921.42.65,Global,0,0.0,,,,,MTB,20
9902.03.58,2921.42.65,Global,0.04,0.04,,,,,MTB,20
9902.03.59,2921.42.90,Global,0,0.0,,,,,MTB,20
9902.03.60,2921.42.90,Global,0,0.0,,,,,MTB,20
9902.03.61,2921.42.90,Global,0,0.0,,,,,MTB,20
9902.03.62,2921.42.90,Global,0,0.0,,,,,MTB,20
9902.03.63,2921.42.90,Global,0,0.0,,,,,MTB,20
9902.03.64,2921.42.90,Global,0,0.0,,,,,MTB,20
9902.03.65,2921.43.15,Global,0.04,0.04,,,,,MTB,20
9902.03.66,2921.43.22,Global,0,0.0,,,,,MTB,20
9902.03.67,2921.43.40,Global,0,0.0,,,,,MTB,20
9902.03.68,2921.43.90,Global,0,0.0,,,,,MTB,20
9902.03.69,2921.43.90,Global,0,0.0,,,,,MTB,20
9902.03.70,2921.43.90,Global,0,0.0,,,,,MTB,20
9902.03.71,2921.43.90,Global,0.055,0.055,,,,,MTB,20
9902.03.72,2921.43.90,Global,0,0.0,,,,,MTB,20
9902.03.73,2921.43.90,Global,0,0.0,,,,,MTB,20
9902.03.74,2921.49.10,Global,0,0.0,,,,,MTB,20
9902.03.75,2921.49.45,Global,0,0.0,,,,,MTB,20
9902.03.76,2921.49.45,Global,0,0.0,,,,,MTB,20
9902.03.77,2921.49.45,Global,0,0.0,,,,,MTB,20
9902.03.78,2921.49.50,Global,0,0.0,,,,,MTB,20
9902.03.79,2921.49.50,Global,0,0.0,,,,,MTB,20
9902.03.80,2921.51.10,Global,0,0.0,,,,,MTB,20
