country_name,country_id,year,iso3,region,v2excrptps,v2exthftps,v2cltrnslw,v2clrspct,v2stcritrecadm,risk_v2excrptps,risk_v2exthftps,risk_v2cltrnslw,risk_v2clrspct,risk_v2stcritrecadm,risk_score,risk_level
Georgia,118,2025,GEO,1.0,0.793,0.627,-0.14,-0.268,-0.507,37.64961915125136,39.65996908809891,52.882935352358764,56.45717316361708,62.6808100289296,49.76558386000877,Moderate
Palestine/West Bank,128,1995,PSE,,1.267,-0.176,0.747,-0.052,-1.296,30.281361728586976,52.07109737248841,39.96796738497379,53.59321134977459,77.89778206364511,49.6727971976987,Moderate
Lesotho,85,2025,LSO,4.0,-0.8,-0.843,1.376,0.753,0.17,62.412560236281664,62.38021638330756,30.809551543389635,42.919649960222756,49.623915139826416,49.63079584525431,Moderate
Kenya,40,2025,KEN,4.0,-0.36,-0.72,0.698,0.5,0.393,55.57282760764806,60.4791344667697,40.681421083284796,46.27419782551048,45.32304725168755,49.42081030402403,Moderate
Zambia,61,2025,ZMB,4.0,-0.957,0.393,0.217,0.251,0.876,64.8531011969532,43.27666151468315,47.68491555037856,49.57570936091223,36.00771456123433,49.35844242094579,Moderate
South Africa,8,2025,ZAF,4.0,-1.543,-0.91,1.683,1.187,0.669,73.96238147054251,63.41576506955177,26.339545719277808,37.165208167594805,39.99999999999999,48.70391090544292,Moderate
Moldova,126,2025,MDA,1.0,-0.415,1.001,0.873,0.711,-0.673,56.42779418622727,33.87944358578052,38.13337216074548,43.47653142402546,65.88235294117646,48.68731638961337,Moderate
Argentina,37,2025,ARG,2.0,-0.34,-0.027,0.068,0.519,0.649,55.261930669982895,49.76816074188562,49.85439720442632,46.022275258552106,40.385728061716485,48.53318688371755,Moderate
Burkina Faso,54,2025,BFA,4.0,-0.711,-0.021,0.577,0.322,0.811,61.02906886367169,49.67542503863987,42.443214909726265,48.63431450543623,37.261330761812914,48.37635300710898,Moderate
Malawi,87,2025,MWI,4.0,-1.006,-0.895,1.797,1.062,0.24,65.61479869423287,63.183925811437405,24.679673849737917,38.822593476531424,48.2738669238187,48.23651539529144,Moderate
Nepal,58,2025,NPL,8.0,-0.684,-0.493,0.922,0.65,0.877,60.60935799782372,56.970633693972175,37.419918462434474,44.285335454786534,35.9884281581485,47.23667096862566,Moderate
Cape Verde,70,2025,CPV,4.0,0.41,0.272,1.039,0.651,-0.174,43.603295507539244,45.1468315301391,35.71636575422249,44.27207637231504,56.258437801350034,44.92222459198319,Moderate
Colombia,15,2025,COL,2.0,-0.007,0.723,0.576,0.627,0.57,50.08549665785792,38.17619783616693,42.45777518928363,44.590294351630874,41.90935390549662,44.03928852917174,Moderate
Peru,30,2025,PER,2.0,0.867,0.451,0.643,0.311,0.298,36.49930048189025,42.38021638330757,41.482236458940015,48.78016441262265,47.15525554484088,42.96538886124941,Moderate
Kosovo,43,2025,XKX,1.0,1.13,-0.284,0.527,0.485,0.49,32.41100575159335,53.740340030911895,43.17122888759464,46.47308406258288,43.45226615236258,42.783118263043136,Moderate
Senegal,31,2025,SEN,4.0,-0.474,-0.37,2.556,0.636,0.696,57.3449401523395,55.06955177743431,13.628421665695981,44.470962609387435,39.479267116682735,42.11239808305325,Moderate
Jordan,83,2025,JOR,3.0,-0.306,1.02,1.113,1.102,0.51,54.73340587595212,33.585780525502315,34.63890506697728,38.292230177671705,43.066538090646084,41.9207532148724,Moderate
Suriname,4,2025,SUR,10.0,0.737,0.798,0.972,0.799,0.059,38.52013057671382,37.01700154559505,36.6919044845661,42.30973216653408,51.764705882352935,41.33585138270834,Moderate
Timor-Leste,74,2025,TLS,7.0,0.763,0.664,1.001,0.745,0.139,38.1159645577491,39.08809891808346,36.26965637740245,43.0257226199947,50.221793635486975,41.29564050372662,Moderate
Tanzania,47,2025,TZA,4.0,0.669,0.677,1.212,0.343,0.515,39.57718016477538,38.887171561051,33.19743739079791,48.355873773534874,42.97010607521696,40.63205422326144,Moderate
Panama,92,2025,PAN,2.0,0.792,0.189,0.421,2.03,0.418,37.665163998134624,46.42967542503864,44.7146185206756,25.987801644126236,44.84088717454194,39.48940378115821,Moderate
The Gambia,117,2025,GMB,4.0,0.217,0.217,1.202,0.97,1.27,46.60345095600808,45.9969088098918,33.343040186371574,40.042429063908784,28.40887174541947,38.90926725962576,Moderate
Portugal,21,2025,PRT,5.0,1.108,1.602,0.952,1.1,-0.143,32.752992383025024,24.590417310664602,36.983110075713455,38.3187483426147,55.660559305689475,38.06929423715947,Moderate
Benin,52,2025,BEN,4.0,0.96,1.682,-0.276,1.688,0.925,35.05362972174724,23.353941267387942,54.863133372160746,30.522407849376833,35.06268081002892,36.356143026858305,Moderate
Namibia,127,2025,NAM,4.0,0.068,-0.246,1.722,2.734,0.847,48.91963314161355,53.15301391035548,25.771694816540474,16.653407584195175,36.56702025072324,36.001284902248486,Moderate
Maldives,88,2025,MDV,8.0,0.46,0.323,0.636,1.996,1.503,42.826053163376336,44.35857805255023,41.584158415841586,26.43861044815699,23.91513982642237,35.747881736810804,Moderate
Botswana,68,2025,BWA,4.0,0.787,1.202,1.564,2.001,0.599,37.74288823255091,30.772797527047913,28.07221898660454,26.372315035799527,41.350048216007714,33.210558134877274,Moderate
Brazil,19,2025,BRA,2.0,0.702,0.65,1.714,1.432,1.345,39.06420021762786,39.304482225656876,25.888177052999417,33.916732962079024,26.962391513982638,33.01518269406771,Moderate
Bhutan,53,2025,BTN,8.0,0.592,1.244,1.226,1.455,1.613,40.77413337478625,30.123647604327665,32.99359347699476,33.61177406523469,21.793635486981675,32.39188109018794,Moderate
